# META_DATA
#  global,location,,China
#  global,year,,2019
# END_META_DATA
Pos,Country,Driver,Logo,Team,Wins,Points,Image
1,Great Britain,Lewis Hamilton,HAM,Mercedes,2,68,data/f1_mercedes_ham.png
2,Finland,Valtteri Bottas,BOT,Mercedes,1,62,data/f1_mercedes_bot.png
3,Netherlands,Max Verstappen,VER,Red Bull,0,39,data/f1_redbull_ver.png
4,Germany,Sebastian Vettel,VET,Ferrari,0,37,data/f1_ferrari_vet.png
5,Monaco,Charles Leclerc,LEC,Ferrari,0,36,data/f1_ferrari_lec.png
6,France,Pierre Gasly,GAS,Red Bull,0,13,data/f1_redbull_gas.png
7,Finland,Kimi Raikkonen,RAI,Alfa Romeo,0,12,data/f1_alfa_rai.png
8,Great Britain,Lando Norris,NOR,McLaren,0,8,data/f1_maclaren_nor.png
9,Denmark,Kevin Magnussen,MAG,Haas,0,8,data/f1_haas_mag.png
10,Australia,Daniel Ricciardo,RIC,Renault,0,6,data/f1_renault_ric.png
11,Germany,Nico Hulkenberg,HUL,Renault,0,6,data/f1_renault_hul.png
12,Mexico,Sergio Perez,PER,Racing Point,0,5,data/f1_racing_point_per.png
13,Thailand,Alexander Albon,ALB,Toro Rosso,0,3,data/f1_toro_roso_alb.png
14,Canada,Lance Stroll,STR,Racing Point,0,2,data/f1_racing_point_str.png
15,Russia,Daniil Kvyat,KVY,Toro Rosso,0,1,data/f1_toro_roso_kvy.png
16,Italy,Antonio Giovinazzi,GIO,Alfa Romeo,0,0,data/f1_alfa_gio.png
17,Great Britain,George Russell,RUS,Williams,0,0,data/f1_williams_rus.png
18,Poland,Robert Kubica,KUB,Williams,0,0,data/f1_williams_kub.png
19,France,Romain Grosjean,GRO,Haas,0,0,data/f1_haas_gro.png
20,Spain,Carlos Sainz Jnr,SAI,McLaren,0,0,data/f1_maclaren_sai.png
